term,coef,se,t,p
const,0.044607929645166786,0.0010908867334378993,40.891440218166494,0.0
mean_p_promotional,-0.017986673523522158,0.001693481249475434,-10.62112351648041,4.251442356766948e-26
median_words,9.964476639380068e-06,2.8774579887246427e-06,3.462944264842789,0.0005383747871459449
log1p_total_posts,0.003117979235613476,0.00043239937687646545,7.21087818890236,6.31171810342086e-13
