creator_id,total_posts,mean_p_promotional,frac_pred_promotional,median_like_rate,mean_like_rate,median_words
0003c5b820,6,0.6495638994042768,0.6666666666666666,0.033707865168539325,0.038612867405886674,242.5
0013f33713,5,0.7021591448316755,0.8,0.034482758620689655,0.032010703027955875,268.0
001b777bd6,1,0.24043075058948313,0.0,0.004524886877828055,0.004524886877828055,530.0
0037b7274e,3,0.35004196232005186,0.0,0.043076923076923075,0.031295641063442924,62.0
00409daea1,1,0.20914461702259485,0.0,0.06699346405228758,0.06699346405228758,345.0
0041834f08,1,0.23915923954361593,0.0,0.07171775592828225,0.07171775592828225,32.0
004882ef7a,1,0.6914085137957514,1.0,0.007142857142857143,0.007142857142857143,162.0
0072a1a9ab,3,0.5713835850807581,0.6666666666666666,0.03812316715542522,0.04105937073679009,162.0
007d85dddd,1,0.7953239944244019,1.0,0.019281332164767746,0.019281332164767746,323.0
008429e8d3,1,0.13504745279798436,0.0,0.0513347022587269,0.0513347022587269,208.0
00a23a87ed,5,0.1289997891660652,0.0,0.06405693950177936,0.06949788666788602,144.0
00ab7e7cda,2,0.14398469989583487,0.0,0.09214934213720445,0.09214934213720445,143.0
00c0236d4f,21,0.16480920316135905,0.0,0.03333333333333333,0.04121751626399933,226.0
00d2166082,1,0.12105693564154311,0.0,0.0018214936247723133,0.0018214936247723133,91.0
00db4a6237,3,0.10639494152793323,0.0,0.04090909090909091,0.03953345535895871,265.0
00df535cee,1,0.10961944708505954,0.0,0.002932551319648094,0.002932551319648094,213.0
00e0c44ee7,2,0.6448644853015724,0.5,0.022441356823048472,0.022441356823048472,116.5
01172ff0b9,1,0.8422023323472173,1.0,0.006587072869493619,0.006587072869493619,107.0
013442206a,2,0.4772259544156824,0.5,0.04145087051716464,0.04145087051716464,316.0
0145c8c638,4,0.17014771468312778,0.0,0.015760827857270763,0.016529365553887003,267.0
0161346368,21,0.20561530093485145,0.047619047619047616,0.0248728094968909,0.027802174186960738,200.0
016406ebed,1,0.9487660365226043,1.0,0.005980861244019139,0.005980861244019139,280.0
017114c7ec,2,0.26750478516356657,0.0,0.019080833570647486,0.019080833570647486,291.5
018dd331fb,2,0.16296794865933067,0.0,0.03807638680353188,0.03807638680353188,64.0
01966bbd07,1,0.10976657966851854,0.0,0.0987034713508992,0.0987034713508992,131.0
01984d6794,3,0.3939355625756051,0.3333333333333333,0.020895522388059702,0.023238024356708024,194.0
019c1af1bb,2,0.29983284423368084,0.0,0.08495198592103625,0.08495198592103625,409.5
019de5c82f,1,0.9723534060210796,1.0,0.05506862095210036,0.05506862095210036,492.0
01a6c01531,2,0.9092071209785881,1.0,0.016067423605270536,0.016067423605270536,627.0
01c95284ef,3,0.11439779646105058,0.0,0.010169491525423728,0.012547486609327084,109.0
01d29c2149,4,0.6410915173084583,1.0,0.0216160366124174,0.02616881849673025,621.5
01dcf32fd6,1,0.07404061367715818,0.0,0.02017589239524056,0.02017589239524056,426.0
01e4b569d1,8,0.48884798620120656,0.375,0.047937356760886174,0.05811370050496746,292.0
01f4fb2048,37,0.12837286526414626,0.0,0.06648936170212766,0.0739510303179022,215.0
0204d530b2,1,0.2785000959182068,0.0,0.06048387096774194,0.06048387096774194,177.0
020835cfde,1,0.30132368572653495,0.0,0.12421052631578948,0.12421052631578948,31.0
0209a41e12,3,0.3048751415248973,0.3333333333333333,0.028730082085948818,0.02640435074169314,135.0
0214bd8c49,1,0.1577753321799393,0.0,0.07521367521367521,0.07521367521367521,52.0
024824cb2d,5,0.4742871195945038,0.4,0.05818181818181818,0.06216887914586124,212.0
025b3c14b7,1,0.5713819515034713,1.0,0.011213456147376852,0.011213456147376852,392.0
025e50a3cb,1,0.3542469114539118,0.0,0.04296875,0.04296875,40.0
026c304d59,1,0.8969558960247787,1.0,0.011507479861910242,0.011507479861910242,41.0
026ec30f6b,4,0.18054827321635813,0.0,0.06338816995623806,0.0689473405635597,327.0
0282c624b3,3,0.13570984757229967,0.0,0.01715686274509804,0.015529296197850456,157.0
02873aed36,1,0.3695408009254109,0.0,0.05841121495327103,0.05841121495327103,59.0
0288b73c33,4,0.49315835776659855,0.5,0.036944376973524415,0.03819986789718452,313.0
028a5b2f5d,1,0.08928453079206293,0.0,0.02904162633107454,0.02904162633107454,42.0
028c3b3a1d,3,0.3312086657411967,0.3333333333333333,0.015492957746478873,0.011554304753458797,81.0
0293545dc8,1,0.9504458026638335,1.0,0.03,0.03,1217.0
0299e33379,1,0.47157537215774964,0.0,0.02786377708978328,0.02786377708978328,25.0
029c87d2b4,39,0.4974553948974641,0.48717948717948717,0.08506448436718157,0.08634263796428766,266.0
029f9c2007,2,0.3459377774362684,0.0,0.021724818959842,0.021724818959842,622.0
02b1ec15f5,1,0.33590490004369583,0.0,0.008168028004667444,0.008168028004667444,48.0
02b4d275da,14,0.0504175934190494,0.0,0.11239495798319327,0.10610797731271268,104.5
02b7ff0d00,4,0.5877855992397069,0.75,0.04198154222176301,0.04053070173101059,254.0
02b884c0dc,1,0.2551469954750587,0.0,0.06183368869936034,0.06183368869936034,44.0
02cc2b55cc,4,0.3133554050720243,0.0,0.0070193575452475124,0.007126422005442426,53.0
02e523f523,11,0.24577701567568486,0.18181818181818182,0.043596730245231606,0.054190552107061564,294.0
02ea154ffb,8,0.6446436600205451,0.75,0.04546794399410464,0.05246764146706288,224.0
02fac5dfd9,10,0.648061074124515,0.9,0.06167635658914729,0.08617505768655684,245.5
0309822b70,1,0.27667245033067617,0.0,0.032388663967611336,0.032388663967611336,343.0
030b5fe341,20,0.6541417722352553,0.8,0.010064412238325281,0.015578607048038118,261.5
031249b85a,3,0.7109264015410899,1.0,0.07364341085271318,0.0685269620479657,159.0
031b4a7b8c,193,0.03408872921085287,0.0,0.04540874722530522,0.04514894734487412,892.0
034b3725ca,1,0.1981700948219576,0.0,,,124.0
034e4b0350,2,0.9727891827707638,1.0,0.034907820616847364,0.034907820616847364,463.5
0360156133,1,0.9810517126064712,1.0,0.028985507246376812,0.028985507246376812,234.0
03681dee8d,20,0.6876289246371756,0.9,0.03046891274561293,0.032441908992430324,119.5
0388e2a581,1,0.0415675416259678,0.0,0.048625792811839326,0.048625792811839326,370.0
03a4aec265,5,0.8037081726692247,0.8,0.06896551724137931,0.08542537268206372,530.0
03b098b445,1,0.2806838301039688,0.0,0.007890961262553802,0.007890961262553802,130.0
03c2c94ff5,15,0.13444532212311883,0.06666666666666667,0.04170058477173341,0.04963640981100003,89.0
